#,ChatRm,Date,ID,Time,Comment,,,
796,2 MEB,14-Mar-2014,2meb_s3,11:15,(en) rgr TF Hammer,,,
833,2 MEB,14-Mar-2014,2meb_s2,11:29,"(en) UAV's spotted 152mm transloader, GAZ 66 Truck, 155 mm M1976 at 12SWG 61000 78000, also UAV Titan attack at 12SWG 74000 67000",,,
834,2 MEB,14-Mar-2014,2meb_s2,11:29,(en) 3 stationary shadows at 12SWG 65523 84626,,,
846,2 MEB,14-Mar-2014,2mebfso,11:31,(en) Shot NSFS: Pegasus 55: 3 stationary shadows at 12SWG 65523 84626,,,
851,2 MEB,14-Mar-2014,2meb_fso,11:32,"(en) Send mission to Rhino 14 UAV's spotted 152mm transloader, GAZ 66 Truck, 155 mm M1976 at 12SWG 61000 78000, also UAV Titan attack at 12SWG 74000 67000",,,
858,2 MEB,14-Mar-2014,7_7a_Ino_mc,11:34,(en) pegasus 55: UAV spotted FARA 1 GRS @ 12 SWG 57592 87735,,,
859,2 MEB,14-Mar-2014,10mc_cdr,11:34,"(en) ASSIGN CAS MISSION MOVER 57 TO EXPEND 50% ORDNANCE. LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-820 LINE 2: TGT GRID: 12SWG 61000 78000 LINE 3: TGT DESC: 152MM TRANSLOADER, GAZ 66 SUPPORT TRUCK, 155MM M1976 ARTILLERY TUBE. LINE 4: JTAC C/S: PEGASUS 55. REPORT BOA. LINE 5: TOT: 1245 TIME NOW: 1234",,,
869,2 MEB,14-Mar-2014,2meb_fso,11:35,(en) Shot NSFS: pegasus 55: UAV spotted FARA 1 GRS @ 12 SWG 57592 87736,,,
870,2 MEB,14-Mar-2014,2meb_s3,11:35,(en) (en) doughnut island defenses have been neutralized-naval gunfire. ASCM prosecuted-no known additional ASCM in the landing area.,,,
878,2 MEB,14-Mar-2014,7_7a_Ino_mc,11:38,"(en) Pegasus 55:ammendment to first UAV report 152mm transloader 61501 80468, 152 transloader 59887 82436, 152 transloader 64886 78855, BM 21 122mm 65240 75391, armor 63429 76257, (3)T-72's 62957 75863",,,
884,2 MEB,14-Mar-2014,10mc_cdr,11:39,{en) ASSIGN CAS MISSION SHAKER 07 TO ATTACK ENEMY ATTACK HELOS WITH AIR-TO-AIR WEAPONS. LINE 1: AAW MISSION REQUEST NUMBER: 14-RHINO-822 LINE 2: TGT GRID: 12SWG 57888 79204 LINE 3: TGT DESC: MI-24 HIND ATTACK AIRCRAFT. LINE 4: JTAC C/S: SHAKER 07. REPORT BDA. LINE 5: TOT: ASAP TIME NOW: 1237,,,
903,2 MEB,14-Mar-2014,2meb_fso,11:41,"(en) Shot NSFS: Pegasus 55:ammendment to first UAV report 152mm transloader 61501 80468, 152 transloader 59887 82436, 152 transloader 64886 78855, BM 21 122mm 65240 75391, Last two being sent to Air due to ACM",,,
908,2 MEB,14-Mar-2014,2meb_fso,11:42,"(en) Shot NSFS: Pegasus 55:ammendment to first UAV report 152mm transloader 61501 80468, 152 transloader 59887 82436, 152 transloader 64886 78855, BM 21 122mm 65240 75391, Last two being sent to Air due to ACM armor 63429 76257, (3)T-72's 62957 75863",,,
913,2 MEB,14-Mar-2014,10mc_cdr,11:43,(en) ASSIGN CAS MISSION ELM 07 EXPENDE 25% ORDNANCE. LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-824 LINE 2: TGT GRID: 12SWG 63429 76257 LINE 3: TGT DESC: ENEMY ARMORED VEHICLES LINE 4: JTAC C/S: RHINO 14. REPORT BDA. LINE 5: TOT: 1255 TIME NOW: 1242,,,
919,2 MEB,14-Mar-2014,7_7a Jno_mc,11:44,"(en) Pegasus 55: (5) 152 Transloaders 12SWG 60208 82746, Hind F 61506 78170, UAZ 469 12.7 mm 61822 75769",,,
920,2 MEB,14-Mar-2014,2meb_fso,11:44,"(en) Tiller 33, 2xF-15E will overfly MEB AO to engage second Hind just east of TF TOR boundary.",,,
932,2 MEB,14-Mar-2014,10mc_cdr,11:45,(en) ASSIGN CAS MISSION CEDAR 07 EXPEND 25% ORDNANCE. LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-826 LINE 2: TGT GRID: 12SWG 62957 75863 LINE 3: TGT DESC: THREE (3) TANGO-72 TANKS. PLATOON STRENGTH. LINE 4: JTAC C/S: CEDAR 07 ... SELF-CLEAR FIRES. REPORT BDA. LINE 5: TOT; 1255 TIME NOW: 1244,,,
938,2 MEB,14-Mar-2014,2meb_fso,11:46,"(en) Shot NSFS, Pegasus 55: (5) 152 Transloaders 12SWG 60208 82746",,,
939,2 MEB,14-Mar-2014,10mc_cdr,11:46,(en) TILLER 33 IS CLEARED TO ENGAGE MW MISSION REQUEST NUMBER 14-RHINO822.,,,
956,2 MEB,14-Mar-2014,2meb_fso,11:47,"(en) Rhino 14, engage Hind F 61506 78170, UAZ 469 12.7 ram 61822 75769",,,
968,2 MEB,14-Mar-2014,10mc_cdr,11:49,(en) TILLER 33 ASSIGNED ADDITIONAL AAW MISSION TO ATTACK ENEMY ATTACK HELOS. LINE 1: AAW MISSION REQUEST NUMBER: 14-RHINO-828 LINE 2: TGT GRID: 12SWG 61506 78170 LINE 3: TGT DESC: MI-24 HIND-F ATTACK AIRCRAFT. LINE 4: JTAC C/S: TILLER 33. REPORT BDA. LINE 5: TOT: ASAP TIME NOW: 1249,,,
994,2 MEB,14-Mar-2014,2meb_fso,11:53,(en) Shot NSFS: TF Hammer: EN SP ARTY LOCATED IN STONES BAY AT GRID 48050 72178,,,
993,2 MEB,14-Mar-2014,2meb_fso,11:53,(en) Shot NSFS: TF Hammer: EN SP ARTY LOCATED IN STONES BAY AT GRID at grid 48045 71925,,,
1002,2 MEB,14-Mar-2014,10mc_cdr,11:55,(en) TILLER 33. CANCEL AAW MSN NUMBER 14-RHINO-822 AND 828. 10mc_cdr (en) CEDAR 11: ATTACK AND DES AAW MSN NUMBER 14-RHINO-822 AND 828. REPORT MSN COMPLETE AND BDA.,,,
1003,2 MEB,14-Mar-2014,2meb_fso,11:55,"(en) Shot Immediate Suppression: TF Hammer: towed Arty located IVO air assault at grid 51044 70240, oriented W",,,
1013,2 MEB,14-Mar-2014,2meb_mech_bn_cdr,11:56,"(en) G Co is ashore, but controller's Comp, is down.",,,
1014,2 MEB,14-Mar-2014,2meb_fso,11:56,(en) TF Hammer: rgr. So far no NSFS are having any affect in ONESAF.,,,
1019,2 MEB,14-Mar-2014,10mc-cdr,11:57,"(en) MAVERICK 55 ... RHINO 06 REQUESTS STATUS OF EMPLOYING AIR DELIVERED GATOR MINES IN RHINO AO. RSVP THIS CHANNEL. RHINO 14, OUT.",,,
